scaffold	avg_err70.sort.bam	stdev_err70.sort.bam
1114_NC_052974.1	29690.010000000002	7043.182874240878
1115_NC_052974.1	24220.62	6928.327720308847
1116_NC_052974.1	37173.869999999995	7445.411338535971
1117_NC_052974.1	27226.08	5684.149012825051
1118_NC_052974.1	25991.280000000002	5445.785067370911
1119_NC_052974.1	31025.7	6053.01577727995
1120_NC_052974.1	15034.05	4555.438507981422
1121_NC_052974.1	2350.125	1049.256165099829
NC_055873.1	36743.04	7046.440590823143
1144_NC_052974.1	32484.78	6362.228383200339
1145_NC_052974.1	18178.649999999998	5306.439484249302
1146_NC_052974.1	41935.23	8048.181471612082
1147_NC_052974.1	19368.54	4170.642036905109
1148_NC_052974.1	36492.119999999995	6626.911045125022
1149_NC_052974.1	32019.57	5928.625473075525
1150_NC_052974.1	6333.201	2481.9765309124095
1263_NC_052974.1	17.47098	20.698478204930915
1293_NC_052974.1	27701.55	15605.119352315123
1294_NC_052974.1	34.94196	28.97738342224846
1295_NC_052974.1	17.47098	20.69820644403761
1296_NC_052974.1	4210.02	3315.0644790109286
1297_NC_052974.1	244.5939	285.0063157194942
1299_NC_052974.1	186.9084	163.13767192160122
1301_NC_052974.1	52.41303	44.60582361082463
1303_NC_052974.1	17.47098	20.69668451709114
1325_NC_052974.1	1798.1190000000001	1457.9876542687182
1335_NC_052974.1	17.47098	20.698097738681202
1346_NC_052974.1	7737.075	5022.850286440957
1350_NC_052974.1	1274.265	1022.9835042658312
4861_NC_052974.1	17.47098	20.698478204930915
31_NC_049805.1	22.21461	23.27509935531962
34_NC_049805.1	56.04066	36.250224137238106
486_NC_049805.1	34.94196	38.33825113382195
NC_047786.1	25033.41	13996.382568363872
2868_NC_049805.1	44169.299999999996	21004.49951796043
2869_NC_049805.1	151841.69999999998	38699.8255810023
2870_NC_049805.1	116758.8	30187.886643486658
2871_NC_049805.1	139925.7	42112.296304048774
NC_047914.1	20.85876	22.56994129367642
3421_NC_049805.1	314.4087	177.5356302267238
3422_NC_049805.1	157.0302	92.67256875688727
3423_NC_049805.1	1030.788	347.223595108397
3424_NC_049805.1	57.226769999999995	36.60673093844901
NC_047915.1	282.5937	88.99223280713885
3425_NC_049805.1	104.8257	51.97797610526981
3426_NC_049805.1	1144.593	213.81972546984528
3427_NC_049805.1	501.0903	128.17260822812338
3428_NC_049805.1	70.64891999999999	40.34679355289587
4980_NC_030928.1	49.0554	34.05568234524159
4408_NC_027983.1	17.47098	20.697825972792412
NC_018285.1	166.71599999999998	107.95717901093934
NC_010353.1	128.4615	131.51270851138304
1262_NC_015568.1	17.47098	20.69826079650172
1417_NC_015568.1	17.47098	20.69793467957612
2603_NC_015568.1	20.43603	22.346274857344792
