scaffold	avg_err69.sort.bam	stdev_err69.sort.bam
NC_055868.1	167.508	122.94428616247279
1107_NC_052974.1	6016.914	1225.1658051055786
1108_NC_052974.1	2773.368	918.8060187003566
1110_NC_052974.1	1724.76	587.1326511104625
1111_NC_052974.1	8703.828000000001	1331.2083796310778
1112_NC_052974.1	1467.423	629.2727945811737
1113_NC_052974.1	2072.16	752.4589689810335
1150_NC_052974.1	17.47098	20.696358375327772
1162_NC_052974.1	681.3693	368.88168835007247
1163_NC_052974.1	436.3569	229.42253594623176
1177_NC_052974.1	17.47098	20.698369501001764
1220_NC_052974.1	17.47098	20.697336785200168
1221_NC_052974.1	17.47098	20.698369501001764
1231_NC_052974.1	34.94196	28.97517040502092
NC_055890.1	36.731700000000004	29.680865048040634
1270_NC_052974.1	17.40141	20.653807155098548
1276_NC_052974.1	109.6605	76.88154850157481
1277_NC_052974.1	69.88401	49.84696580535269
1278_NC_052974.1	52.41303	58.514421299368585
1279_NC_052974.1	34.94196	28.97610222234868
1281_NC_052974.1	34.87239	40.82596600204336
NC_055892.1	335.7324	135.51717603315086
1285_NC_052974.1	1135.6109999999999	372.18866183697753
1286_NC_052974.1	1642.1309999999999	451.41851424149627
1287_NC_052974.1	646.0092	267.7342432338456
1288_NC_052974.1	646.2873	242.08206253252223
1289_NC_052974.1	104.8257	69.37641890440872
1290_NC_052974.1	733.6431	282.35204089930005
1291_NC_052974.1	1432.485	299.07532496011765
1292_NC_052974.1	1651.041	352.1650536325261
1308_NC_052974.1	17.47098	20.697173720100047
1309_NC_052974.1	17.47098	20.696249660264538
1315_NC_052974.1	1624.383	432.2712689966799
1316_NC_052974.1	2779.911	666.6837706139246
1318_NC_052974.1	820.9278	317.5262981234783
1319_NC_052974.1	314.478	125.94775702647507
1320_NC_052974.1	1310.3280000000002	449.02118546901545
1321_NC_052974.1	2882.4390000000003	608.1552022304833
1322_NC_052974.1	1560.825	446.39002004973185
1339_NC_052974.1	17.47098	20.69619530251877
NC_054986.1	92.2041	53.12647645007148
2341_NC_052974.1	174.6405	76.8961800091526
NC_054987.1	131.5287	53.72785590361856
2343_NC_052974.1	366.0561	116.87300800441477
2344_NC_052974.1	35.99424	29.39479545769965
NC_049347.1	17.88597	20.93556185059288
NC_049351.1	28.85058	26.421979486783346
59_NC_049805.1	23.82408	24.0814243764774
NC_049353.1	43.314119999999996	32.10774439290309
NC_049354.1	73.47591	41.07648049675142
NC_049357.1	20.63016	22.44678707521413
81_NC_049805.1	17.47098	20.698586908289172
82_NC_049805.1	19.95372	22.08527790180599
83_NC_049805.1	17.47098	20.697662911546317
NC_049363.1	24.36894	24.34717642766816
NC_049364.1	56.616569999999996	36.42255139333322
94_NC_049805.1	17.484479999999998	20.70402134852068
97_NC_049805.1	37.52496	29.986234341777564
100_NC_049805.1	34.94196	28.97517040502092
101_NC_049805.1	17.47098	20.69826079650172
118_NC_049805.1	42.88968	31.958449586924583
NC_049374.1	30.48579	27.136156691764587
121_NC_049805.1	17.47098	20.697880326255632
NC_049377.1	35.35209	29.14122080490109
153_NC_049805.1	167.7681	69.0469405549587
NC_049398.1	36.11511	29.442099959072213
NC_049400.1	40.70268	31.17233148162004
215_NC_049805.1	52.41303	59.04496168175571
NC_049403.1	40.49181	31.097210485829756
NC_049404.1	18.684900000000003	21.387338544101276
225_NC_049805.1	17.47098	20.698315148823106
NC_049410.1	80.53479	60.45260540291047
239_NC_049805.1	17.47098	20.69722807527617
264_NC_049805.1	17.47098	20.696086586598923
271_NC_049805.1	34.94196	28.97454917682068
NC_049476.1	57.48093	36.681916525721505
NC_049480.1	59.29137	45.23913958067727
NC_049482.1	86.55174000000001	44.23164025898203
580_NC_049805.1	34.94196	28.977616361598827
589_NC_049805.1	17.47098	20.69793467957612
NC_049487.1	21.21129	22.75574652697643
592_NC_049805.1	69.88401	44.72971327875912
NC_049488.1	33.171839999999996	28.26371790830074
3417_NC_049805.1	3281.679	1335.5139460147916
NC_047913.1	52.41879	35.131556327609516
3418_NC_049805.1	34.94196	28.977461068906642
3419_NC_049805.1	69.88401	44.96756330956793
3420_NC_049805.1	121.0608	51.194189123376105
NC_047914.1	208.5876	99.4308805150593
3421_NC_049805.1	681.0903	169.2974453439862
3422_NC_049805.1	515.4291	134.89971274987948
3423_NC_049805.1	366.8913	103.24719124508908
NC_047915.1	77.09895	41.98245169115306
3425_NC_049805.1	69.88401	40.145896427904056
3426_NC_049805.1	69.88401	47.60084032871689
3427_NC_049805.1	209.6523	102.83088057582702
3428_NC_049805.1	136.935	64.30242996963645
5116_NC_049805.1	17.47098	20.698097738681202
5118_NC_049805.1	17.47098	20.697445494553186
NC_017702.1	18.23247	21.133344505780435
2888_NC_030928.1	17.47098	20.697119364781173
4353_NC_030928.1	34.94196	41.39600524205204
5464_NC_030928.1	17.47098	20.697880326255632
NC_013152.1	23.904719999999998	24.119328348857476
NC_013153.1	74.18718	41.25728117556949
5478_NC_030928.1	17.47098	20.697119364781173
5480_NC_030928.1	34.94196	28.976490470724713
5482_NC_030928.1	17.47098	20.69663016048748
5483_NC_030928.1	17.47098	20.698315148823106
NC_024380.1	335.0745	109.4409087133326
1304_NC_027983.1	279.1881	112.45028901696963
1305_NC_027983.1	285.3558	123.4237517660195
1333_NC_027983.1	331.8795	113.17169478275034
1345_NC_027983.1	803.3175	251.58626751076858
1346_NC_027983.1	157.31550000000001	87.71563429628722
2962_NC_027983.1	17.47098	20.698532556681407
2965_NC_027983.1	17.47098	20.697336785200168
NC_021855.1	54.96354	35.921602135762264
NC_021860.1	92.1105	53.14426121417062
NC_020870.1	336.8052	159.08488300275425
3387_NC_027983.1	506.6586	177.45386724441934
3388_NC_027983.1	72.69785999999999	40.88013270526405
NC_020880.1	74.73942	49.234743829941884
3438_NC_027983.1	209.5128	108.3122569241358
NC_018273.1	199.59029999999998	87.12469512141779
4898_NC_027983.1	122.29740000000001	69.80723458209758
NC_001909.1	21.33144	22.818840899572443
2457_NC_015568.1	34.87239	31.930909789731956
